UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women,group_id
uuid_00001,74,0,565,0,96,0,0,135,111,0,0,0,105,94,4
uuid_00002,21,0,129,0,20,0,0,69,17,5,0,1,20,33,3
uuid_00003,0,0,13,2,139,0,0,1,0,0,3,17,4,0,3
uuid_00004,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0
uuid_00005,0,0,0,252,0,40,0,0,0,0,0,0,0,0,0
uuid_00006,0,0,493,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00007,31,131,17,1,0,2,119,15,0,1,36,30,0,22,3
uuid_00008,23,0,494,0,24,0,0,184,24,0,0,12,25,27,4
uuid_00009,0,0,0,0,0,0,0,959,0,0,0,0,0,0,9
uuid_00010,0,314,0,0,0,0,2361,0,0,0,1,0,0,0,5
uuid_00011,0,0,0,0,1,0,0,0,0,0,0,170,0,0,2
uuid_00012,0,0,0,0,0,0,3963,8,0,0,5,29,0,32,5
uuid_00013,41,1,41,0,23,1,0,241,22,3,54,21,19,20,9
uuid_00014,0,0,3,1,1,0,675,10,0,0,0,5,0,0,5
uuid_00015,0,1,0,460,0,0,6,0,0,0,0,0,0,0,0
uuid_00016,849,16,2,1,0,8,6,73,1,0,89,13,1,12,10
uuid_00017,0,0,0,0,0,0,270,27,0,0,0,0,0,0,5
uuid_00018,0,1,0,1,0,1,0,0,12,0,0,1266,0,0,2
uuid_00019,0,0,0,268,0,0,2,0,0,0,0,0,0,0,0
uuid_00020,0,0,0,215,0,0,0,0,0,0,0,2,0,0,0
uuid_00021,0,2,0,424,0,16,3,0,0,0,1,13,0,0,0
uuid_00022,0,32,0,0,0,0,1,21,0,0,0,0,0,0,1
uuid_00023,0,5,0,76,0,0,10,7,0,0,0,3,102,0,3
uuid_00024,0,3,0,1,0,197,1,4,0,0,1,0,0,3,7
uuid_00025,0,0,0,292,0,0,2,1,3,0,33,0,0,0,0
uuid_00026,0,0,0,0,0,0,1372,0,0,0,0,0,0,0,5
uuid_00027,81,7,0,0,0,0,1694,3,0,0,7,0,0,1,5
uuid_00028,0,0,1072,0,1,9,83,775,1,1,0,0,2,3,4
uuid_00029,0,0,1,0,0,9,0,109,0,13,0,7,10,0,9
uuid_00030,0,0,0,0,0,0,0,0,0,0,0,609,0,0,2
uuid_00031,0,15,0,78,0,30,1,0,0,0,74,0,0,0,3
uuid_00032,0,0,0,0,0,0,0,888,0,0,0,0,0,0,9
uuid_00033,0,1,0,3,5,230,11,305,2,0,4,23,0,1,9
uuid_00034,32,10,4,0,0,0,63,1,6,64,1,1,61,18,3
uuid_00035,55,3,0,0,0,0,2,3,0,1,1,685,0,0,2
uuid_00036,0,18,0,2,0,173,2,2,2,0,0,1,0,0,7
uuid_00037,0,0,0,0,0,0,434,0,0,0,0,0,0,0,5
uuid_00038,0,1,3156,0,0,0,0,15,0,0,0,0,6,0,4
uuid_00039,134,3,1,0,0,0,3,89,1,1,0,578,0,9,2
uuid_00040,0,0,1007,0,0,0,0,36,0,0,18,0,0,0,4
uuid_00041,0,1,0,0,0,2,1771,6,0,0,0,0,0,0,5
uuid_00042,10,1,117,0,14,0,0,127,13,0,0,0,11,12,9
uuid_00043,0,64,0,16,0,0,0,93,0,0,0,0,0,0,9
uuid_00044,0,14,380,0,35,2,21,1,13,0,2,2,0,0,4
uuid_00045,0,0,4085,0,1,0,0,1,0,100,0,0,6,0,4
uuid_00046,0,6,9,0,0,0,4,3,0,0,0,317,0,0,2
uuid_00047,0,123,0,0,3,3,1,2,0,0,211,35,0,1,6
uuid_00048,0,1265,0,0,0,0,0,117,0,0,0,1,0,0,1
uuid_00049,0,16,0,0,0,1,195,2,2,8,0,74,37,3,5
uuid_00050,10,0,0,0,0,0,0,0,0,0,0,1605,0,0,2
uuid_00051,74,2,41,2,2,0,0,13,3,42,39,348,0,2,2
uuid_00052,0,18,0,0,0,2,105,4,0,0,0,1,46,4,5
uuid_00053,8,0,34,0,20,0,0,657,18,0,0,6,14,10,9
uuid_00054,0,11,1,1,0,72,0,8,8,0,0,20,0,1,7
uuid_00055,0,12,337,0,0,0,54,38,0,0,0,0,0,0,4
uuid_00056,51,5,1,1,0,56,855,21,0,0,0,2,30,0,5
uuid_00057,0,417,1,0,15,2,3,4,0,0,0,11,0,0,1
uuid_00058,0,69,0,0,0,0,0,0,0,0,0,0,30,1,1
uuid_00059,0,1,0,453,0,0,1,0,0,0,0,20,0,0,0
uuid_00060,0,0,72,0,0,0,0,2,0,0,0,0,0,0,4
uuid_00061,1,46,0,7,0,2,9,28,1,3,236,12,8,29,6
uuid_00062,2,1,4,0,2,0,0,0,0,0,0,906,72,0,2
uuid_00063,0,16,0,32,0,103,7,6,2,0,47,219,0,0,2
uuid_00064,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1
uuid_00065,1,29,8,0,0,104,16,12,0,1,32,16,1,1,7
uuid_00066,4,0,0,0,0,0,0,0,0,0,0,792,0,0,2
uuid_00067,18,40,71,0,0,14,52,57,2,303,0,6,0,0,3
uuid_00068,5,0,68,0,9,1,0,29,13,43,1,241,17,10,2
uuid_00069,6,165,0,0,0,0,0,0,0,0,16,301,0,0,2
uuid_00070,0,0,0,0,0,0,3,0,0,0,0,721,0,0,2
uuid_00071,0,229,0,6,0,0,2,0,3,0,56,2,98,17,1
uuid_00072,169,18,5,0,0,0,0,19,0,74,2,47,0,8,10
uuid_00073,0,0,0,0,0,0,0,12,0,0,0,3,0,0,9
uuid_00074,0,42,2835,0,0,0,1,33,0,0,0,0,0,0,4
uuid_00075,0,27,0,1,0,10,1,104,0,0,74,221,0,1,2
uuid_00076,0,1,0,0,0,0,5,0,0,0,0,818,0,2,2
uuid_00077,3,34,2,2,0,0,9,7,1,1,0,664,56,7,2
uuid_00078,0,0,0,0,0,329,0,0,0,0,0,0,0,0,7
uuid_00079,4,116,6,0,0,3,1,5,0,1,1,72,223,0,3
uuid_00080,0,1,0,699,0,0,0,0,0,0,0,0,0,0,0
uuid_00081,0,0,0,490,0,0,0,0,2,0,0,16,0,1,0
uuid_00082,79,6,0,0,0,0,0,0,0,0,0,29,0,0,10
uuid_00083,0,6,0,0,0,0,628,8,0,0,0,7,214,1,5
uuid_00084,0,285,0,0,0,0,0,0,0,0,0,0,0,0,1
uuid_00085,0,7,2,0,0,1,1,958,0,0,0,213,0,1,9
uuid_00086,0,117,2,383,0,0,9,0,6,0,0,1,0,2,0
uuid_00087,0,1,1,0,0,0,4,9,0,0,0,1,0,0,9
uuid_00088,0,11,574,0,0,0,0,0,0,0,0,0,11,0,4
uuid_00089,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,2
uuid_00090,0,0,24,0,0,0,0,0,0,0,0,551,0,0,2
uuid_00091,0,20,21,1,0,16,2,2,1,0,0,0,0,2,3
uuid_00092,0,40,0,15,0,1,0,3,8,0,130,0,39,19,6
uuid_00093,0,921,0,0,0,0,0,73,0,0,0,0,0,2,1
uuid_00094,0,97,4,0,0,22,179,20,0,5,0,1,33,2,3
uuid_00095,4,3,66,0,6,0,0,510,2,2,0,2,9,3,9
uuid_00096,36,124,26,0,0,2,18,30,1,34,0,0,0,4,3
uuid_00097,38,0,0,0,0,0,0,0,0,0,4,578,5,0,2
uuid_00098,22,46,0,0,0,0,1444,10,0,0,0,39,57,0,5
uuid_00099,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,2
uuid_00100,0,0,0,0,0,0,0,11,0,97,0,7,7,31,3
uuid_00101,0,119,1,0,0,0,8,0,17,0,0,8,10,7,1
uuid_00102,0,29,0,42,0,2,31,1,0,0,42,7,0,0,3
uuid_00103,0,65,0,0,0,0,3,0,0,0,0,292,1,0,2
uuid_00104,2,33,7497,0,0,1,32,7,0,1,5,121,1,5,4
uuid_00105,0,18,0,0,0,0,3,24,2,0,0,1,32,0,3
uuid_00106,0,0,2,0,0,0,10,1,0,0,0,0,0,0,5
uuid_00107,0,4,0,0,0,535,20,1,0,0,0,4,0,1,7
uuid_00108,0,9,18,0,0,0,0,14,0,1905,0,0,0,0,3
uuid_00109,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7
uuid_00110,0,33,0,0,0,0,3,53,0,0,108,47,0,0,6
uuid_00111,0,17,0,1,0,179,1,5,2,0,0,0,0,0,7
uuid_00112,0,1,0,7,0,42,1,0,0,0,0,106,0,0,2
uuid_00113,1,4,70,0,1,0,12,85,0,40,46,7,19,2,3
uuid_00114,24,263,173,3,0,4,30,21,1,5,5,5,5,0,3
uuid_00115,0,623,0,0,0,0,0,0,0,0,0,0,0,0,1
uuid_00116,9,115,1,2,0,35,1277,5,0,2,0,0,1,1,5
uuid_00117,0,32,1,0,0,0,3,0,0,50,2,0,48,79,3
uuid_00118,1,883,0,0,0,1,0,2,0,0,0,0,0,0,1
uuid_00119,0,0,0,295,0,1,0,1,0,0,0,119,0,0,0
uuid_00120,1,3117,22,0,0,0,0,5,0,0,0,0,0,0,1
uuid_00121,0,6,81,0,0,0,31,5,0,0,31,20,356,1,3
uuid_00122,0,0,0,6,0,143,36,0,0,0,0,2,0,1,7
uuid_00123,72,38,5,1,0,53,88,138,0,2,55,3,61,2,3
uuid_00124,0,8,5,0,0,0,0,38,0,0,0,0,0,0,9
uuid_00125,3,1,703,0,1,0,2,4,3,0,0,0,4,18,4
uuid_00126,0,49,1629,0,0,0,4,1,0,0,0,0,0,2,4
uuid_00127,0,26,1190,0,0,0,11,244,0,21,14,233,0,1,4
uuid_00128,0,8,0,240,0,16,85,7,0,0,0,0,0,0,0
uuid_00129,0,0,0,0,0,0,384,1,0,0,0,7,0,0,5
uuid_00130,0,1,0,555,0,0,0,2,0,0,0,0,0,0,0
uuid_00131,0,11,0,2,0,0,0,1,0,0,0,256,0,1,2
uuid_00132,15,28,63,0,12,0,0,191,20,0,0,0,13,8,9
uuid_00133,1,110,0,0,0,4,7,71,0,0,516,25,28,3,6
uuid_00134,62,26,416,7,83,1,1,151,81,0,1,0,79,90,3
uuid_00135,0,17,77,398,0,0,0,0,0,0,0,1,0,0,0
uuid_00136,0,8,17,0,0,0,0,29,0,0,0,0,0,0,9
