data,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women
group-01,19101,59224,33738,14783,1831,21972,25348,36464,5068,9314,45073,3445740,7928,6225
group-02,2498,150998,13066,3236155,1000,19692,20130,15861,8786,1666,60525,33375,15263,8465
group-03,70520,252980,220707,82861,55528,40157,104609,185776,56653,125671,117843,118866,161139,131270
group-04,4199,74065,21581,28851,1119,3623,14308,31463,4437,3392,1864349,20460,14877,9851
group-05,11121,46134,7547876,12036,8101,8235,40334,106298,11366,17237,29573,33086,21339,12396
group-06,6234,2809264,20726,92845,1179,14832,33102,24114,28084,2498,48923,30147,33686,20001
group-07,109,17375,3125,1196,1801,2955,12736,2187,706518,400,966,1704,1654,2711
group-08,1920,17914,6648,11030,534,378065,4810,7177,1286,1377,5691,14715,1833,1966
group-09,9377,49343,68753,4876,7008,6987,25219,744654,6766,9155,20389,21159,9510,11541
group-10,39829,44103,23537,14282,2567,14340,3349153,36942,6379,5518,15047,38107,18149,19082
group-11,280136,9927,3498,1692,226,2604,6148,7183,539,1501,3632,8569,1362,1488
