UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women
uuid_00001,0.06271186,0,0.47881356,0,0.08135593,0,0,0.11440678,0.0940678,0,0,0,0.08898305,0.07966102
uuid_00002,0.06666667,0,0.40952381,0,0.06349206,0,0,0.21904762,0.05396825,0.01587302,0,0.0031746,0.06349206,0.1047619
uuid_00003,0,0,0.0726257,0.01117318,0.77653631,0,0,0.00558659,0,0,0.01675978,0.09497207,0.02234637,0
uuid_00004,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uuid_00005,0,0,0,0.8630137,0,0.1369863,0,0,0,0,0,0,0,0
uuid_00006,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uuid_00007,0.07654321,0.32345679,0.04197531,0.00246914,0,0.00493827,0.29382716,0.03703704,0,0.00246914,0.08888889,0.07407407,0,0.05432099
uuid_00008,0.02829028,0,0.60762608,0,0.0295203,0,0,0.22632226,0.0295203,0,0,0.01476015,0.03075031,0.03321033
uuid_00009,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uuid_00010,0,0.11733931,0,0,0,0,0.882287,0,0,0,0.00037369,0,0,0
uuid_00011,0,0,0,0,0.00584795,0,0,0,0,0,0,0.99415205,0,0
uuid_00012,0,0,0,0,0,0,0.98166956,0.00198167,0,0,0.00123854,0.00718355,0,0.00792668
uuid_00013,0.08418891,0.00205339,0.08418891,0,0.04722793,0.00205339,0,0.49486653,0.04517454,0.00616016,0.11088296,0.04312115,0.03901437,0.04106776
uuid_00014,0,0,0.00431655,0.00143885,0.00143885,0,0.97122302,0.01438849,0,0,0,0.00719424,0,0
uuid_00015,0,0.00214133,0,0.98501071,0,0,0.01284797,0,0,0,0,0,0,0
uuid_00016,0.79271709,0.01493931,0.00186741,0.00093371,0,0.00746965,0.00560224,0.0681606,0.00093371,0,0.08309991,0.01213819,0.00093371,0.01120448
uuid_00017,0,0,0,0,0,0,0.90909091,0.09090909,0,0,0,0,0,0
uuid_00018,0,0.00078064,0,0.00078064,0,0.00078064,0,0,0.00936768,0,0,0.9882904,0,0
uuid_00019,0,0,0,0.99259259,0,0,0.00740741,0,0,0,0,0,0,0
uuid_00020,0,0,0,0.99078341,0,0,0,0,0,0,0,0.00921659,0,0
uuid_00021,0,0.0043573,0,0.92374728,0,0.03485839,0.00653595,0,0,0,0.00217865,0.02832244,0,0
uuid_00022,0,0.59259259,0,0,0,0,0.01851852,0.38888889,0,0,0,0,0,0
uuid_00023,0,0.02463054,0,0.37438424,0,0,0.04926108,0.03448276,0,0,0,0.01477833,0.50246305,0
uuid_00024,0,0.01428571,0,0.0047619,0,0.93809524,0.0047619,0.01904762,0,0,0.0047619,0,0,0.01428571
uuid_00025,0,0,0,0.88217523,0,0,0.0060423,0.00302115,0.00906344,0,0.09969789,0,0,0
uuid_00026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uuid_00027,0.04517568,0.00390407,0,0,0,0,0.94478528,0.00167317,0,0,0.00390407,0,0,0.00055772
uuid_00028,0,0,0.55059065,0,0.00051361,0.0046225,0.04262969,0.39804828,0.00051361,0.00051361,0,0,0.00102722,0.00154083
uuid_00029,0,0,0.00671141,0,0,0.06040268,0,0.73154362,0,0.08724832,0,0.04697987,0.06711409,0
uuid_00030,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uuid_00031,0,0.07575758,0,0.39393939,0,0.15151515,0.00505051,0,0,0,0.37373737,0,0,0
uuid_00032,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uuid_00033,0,0.0017094,0,0.00512821,0.00854701,0.39316239,0.01880342,0.52136752,0.0034188,0,0.00683761,0.03931624,0,0.0017094
uuid_00034,0.12260536,0.03831418,0.01532567,0,0,0,0.24137931,0.00383142,0.02298851,0.24521073,0.00383142,0.00383142,0.23371648,0.06896552
uuid_00035,0.07333333,0.004,0,0,0,0,0.00266667,0.004,0,0.00133333,0.00133333,0.91333333,0,0
uuid_00036,0,0.09,0,0.01,0,0.865,0.01,0.01,0.01,0,0,0.005,0,0
uuid_00037,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uuid_00038,0,0.00031466,0.99307741,0,0,0,0,0.00471995,0,0,0,0,0.00188798,0
uuid_00039,0.16361416,0.003663,0.001221,0,0,0,0.003663,0.10866911,0.001221,0.001221,0,0.70573871,0,0.01098901
uuid_00040,0,0,0.94910462,0,0,0,0,0.03393025,0,0,0.01696513,0,0,0
uuid_00041,0,0.0005618,0,0,0,0.0011236,0.99494382,0.00337079,0,0,0,0,0,0
uuid_00042,0.03278689,0.00327869,0.38360656,0,0.04590164,0,0,0.41639344,0.04262295,0,0,0,0.03606557,0.03934426
uuid_00043,0,0.3699422,0,0.09248555,0,0,0,0.53757225,0,0,0,0,0,0
uuid_00044,0,0.02978723,0.80851064,0,0.07446809,0.00425532,0.04468085,0.00212766,0.02765957,0,0.00425532,0.00425532,0,0
uuid_00045,0,0,0.97424279,0,0.00023849,0,0,0.00023849,0,0.02384927,0,0,0.00143096,0
uuid_00046,0,0.01769912,0.02654867,0,0,0,0.01179941,0.00884956,0,0,0,0.93510324,0,0
uuid_00047,0,0.32453826,0,0,0.00791557,0.00791557,0.00263852,0.00527704,0,0,0.55672823,0.09234828,0,0.00263852
uuid_00048,0,0.91467824,0,0,0,0,0,0.0845987,0,0,0,0.00072307,0,0
