"age", "gender", "signed_in", "avg_click", "agv_impressions", "max_click", "max_impressions"
0, 0, 0, 0.14, 5.0, 4, 18
7, 0, 1, 0.75, 5.0, 1, 7
7, 1, 1, 0.00, 6.0, 0, 6
8, 0, 1, 0.00, 6.3, 0, 10
8, 1, 1, 0.33, 6.2, 1, 11
9, 0, 1, 0.12, 5.7, 1, 10
9, 1, 1, 0.09, 5.4, 1, 9
10, 0, 1, 0.12, 5.2, 1, 11
10, 1, 1, 0.19, 4.7, 1, 11
11, 0, 1, 0.13, 4.9, 2, 13
11, 1, 1, 0.13, 5.2, 1, 13
12, 0, 1, 0.15, 4.8, 2, 16
12, 1, 1, 0.16, 5.0, 2, 13
13, 0, 1, 0.15, 5.0, 2, 12
13, 1, 1, 0.15, 5.0, 2, 15
14, 0, 1, 0.13, 5.0, 2, 14
14, 1, 1, 0.13, 5.1, 3, 15
15, 0, 1, 0.18, 5.0, 2, 15
15, 1, 1, 0.14, 4.9, 3, 14
16, 0, 1, 0.16, 4.9, 2, 16
16, 1, 1, 0.15, 5.0, 3, 16
17, 0, 1, 0.16, 5.1, 2, 12
17, 1, 1, 0.15, 5.0, 3, 15
18, 0, 1, 0.08, 5.0, 2, 16
18, 1, 1, 0.09, 5.0, 2, 17
19, 0, 1, 0.05, 5.1, 2, 17
19, 1, 1, 0.05, 5.0, 2, 16
20, 0, 1, 0.05, 5.0, 2, 15
20, 1, 1, 0.04, 5.0, 2, 16
21, 0, 1, 0.05, 5.1, 2, 14
21, 1, 1, 0.05, 5.1, 2, 14
22, 0, 1, 0.05, 5.0, 2, 14
22, 1, 1, 0.05, 5.0, 2, 14
23, 0, 1, 0.05, 5.0, 2, 15
23, 1, 1, 0.05, 5.0, 2, 14
24, 0, 1, 0.04, 4.9, 1, 15
24, 1, 1, 0.05, 5.0, 2, 15
25, 0, 1, 0.04, 4.9, 2, 15
25, 1, 1, 0.05, 5.1, 2, 15
26, 0, 1, 0.05, 5.0, 2, 14
26, 1, 1, 0.05, 5.0, 2, 13
27, 0, 1, 0.05, 5.0, 2, 13
27, 1, 1, 0.05, 5.0, 2, 14
28, 0, 1, 0.05, 5.1, 2, 16
28, 1, 1, 0.04, 4.9, 2, 14
29, 0, 1, 0.05, 5.0, 2, 15
29, 1, 1, 0.04, 4.9, 2, 15
30, 0, 1, 0.05, 5.0, 2, 14
30, 1, 1, 0.06, 5.0, 2, 14
31, 0, 1, 0.05, 5.0, 2, 13
31, 1, 1, 0.06, 5.0, 2, 15
32, 0, 1, 0.05, 5.0, 2, 15
32, 1, 1, 0.05, 5.0, 2, 14
33, 0, 1, 0.05, 5.0, 2, 13
33, 1, 1, 0.05, 5.0, 2, 14
34, 0, 1, 0.06, 5.0, 1, 17
